manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Toyota,Camry,2015,78796,Foreign used,D,Petrol,Automatic,black,6730000,6
Toyota,Corolla,2003,208809,Nigerian used,E,Petrol,Automatic,silver,1186000,18
Toyota,Avalon,2011,105765,Foreign used,C,Petrol,Semiautomatic,white,4266000,10
Mercedes-Benz,GL450,2007,193795,Nigerian used,E,Petrol,Automatic,black,3370000,14
Toyota,Camry,2004,123335,Foreign used,C,Petrol,Automatic,silver,1970000,17
Honda,Accord,2003,261968,Nigerian used,D,Petrol,Automatic,silver,738000,18
Honda,Accord,2008,232560,Nigerian used,C,Petrol,Automatic,blue,1690000,13
Cadillac,Srx,2010,289580,Foreign used,C,Petrol,Automatic,silver,6730000,11
Kia,Joice,1999,112233,Nigerian used,D,Petrol,Manual,silver,626000,22
Lexus,Is 250,2006,95304,Nigerian used,D,Petrol,Automatic,black,2586000,15
Mercedes-Benz,C230,2005,179487,Nigerian used,D,Petrol,Automatic,silver,1242000,16
