manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Volkswagen,Golf,1994,248815,Nigerian used,D,Petrol,Manual,black,458000
Toyota,Corolla,1998,0,Nigerian used,D,Petrol,Automatic,black,682000
Nissan,Maxima,2012,75011,Nigerian used,D,Petrol,Automatic,black,1578000
Mercedes-Benz,GLK 350,2012,182638,Nigerian used,C,Petrol,Automatic,black,4490000
Toyota,Corolla,2012,145647,Nigerian used,D,Petrol,Automatic,gold,2362000
Toyota,Camry,2013,161235,Nigerian used,C,Petrol,Automatic,grey,4042000
Mazda,5,2007,175347,Nigerian used,E,Petrol,Automatic,white,1074000
Honda,Accord,2013,107706,Nigerian used,D,Petrol,Automatic,grey,3930000
Toyota,Picnic,2001,170241,Foreign used,D,Petrol,Automatic,gold,2586000
Ford,Windstar,2003,129247,Nigerian used,C,Petrol,Automatic,white,570000
Toyota,Sienna,2015,55719,Nigerian used,D,Petrol,Automatic,black,4490000
Toyota,Sienna,2001,251637,Nigerian used,E,Petrol,Automatic,blue,906000
Toyota,Camry,2009,145587,Foreign used,E,Petrol,Automatic,black,2922000
Peugeot,607,2004,999999,Nigerian used,D,Petrol,Manual,black,906000
Infiniti,Qx,2001,88566,Nigerian used,E,Petrol,Automatic,black,794000
Toyota,Corolla,2010,122756,Nigerian used,C,Petrol,Automatic,black,2810000
Honda,Pilot,2006,128687,Nigerian used,D,Petrol,Automatic,white,1242000
Nissan,Altima,2003,239721,Nigerian used,D,Petrol,Automatic,silver,614800
Honda,Cr-V,2007,246449,Nigerian used,D,Petrol,Automatic,black,1746000
